IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,51983,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,gew4-spclient.spotify.com,71,125,1,1,2025-08-23T17:54:52.442+02:00,2025-08-23T17:54:52.477+02:00
6,10.215.173.1,42264,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,gew4-spclient.spotify.com,1183,3749,11,7,2025-08-23T17:54:52.485+02:00,2025-08-23T17:54:52.882+02:00
6,10.215.173.1,42274,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,gew4-spclient.spotify.com,1203,460,10,6,2025-08-23T17:54:52.507+02:00,2025-08-23T17:54:52.778+02:00
6,10.215.173.1,42290,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,gew4-spclient.spotify.com,4932,12341,28,19,2025-08-23T17:54:52.513+02:00,2025-08-23T17:54:55.466+02:00
6,10.215.173.1,42296,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,gew4-spclient.spotify.com,1183,4558,11,11,2025-08-23T17:54:52.516+02:00,2025-08-23T17:54:52.782+02:00
6,10.215.173.1,42308,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,gew4-spclient.spotify.com,1143,3669,10,5,2025-08-23T17:54:52.524+02:00,2025-08-23T17:54:52.866+02:00
6,10.215.173.1,42316,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,gew4-spclient.spotify.com,1203,540,10,8,2025-08-23T17:54:52.559+02:00,2025-08-23T17:54:52.764+02:00
6,10.215.173.1,42334,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,gew4-spclient.spotify.com,1143,3669,10,5,2025-08-23T17:54:52.575+02:00,2025-08-23T17:54:52.781+02:00
6,10.215.173.1,42318,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,gew4-spclient.spotify.com,1143,3669,10,5,2025-08-23T17:54:52.586+02:00,2025-08-23T17:54:52.764+02:00
6,10.215.173.1,42340,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,gew4-spclient.spotify.com,1203,420,10,5,2025-08-23T17:54:52.598+02:00,2025-08-23T17:54:52.765+02:00
6,10.215.173.1,42342,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,gew4-spclient.spotify.com,1203,420,10,5,2025-08-23T17:54:52.621+02:00,2025-08-23T17:54:52.765+02:00
